,seeds,aupr,auc,precision,recall,thresh
0,0.0,0.7732657876630987,0.90119710467706,0.7211538461538461,0.75,0.16315648
1,1.0,0.8093423558991216,0.9163641425389756,0.7492163009404389,0.7966666666666666,0.14896178
2,2.0,0.7820234228853649,0.9115534521158128,0.6929577464788732,0.82,0.12776
3,3.0,0.7864433507375358,0.9118875278396437,0.6639344262295082,0.81,0.13779148
4,4.0,0.8193091651933442,0.9201095025983668,0.744807121661721,0.8366666666666667,0.13789457
5,5.0,0.7852471228505054,0.9040924276169267,0.6603260869565217,0.81,0.117856205
6,6.0,0.7847866179980889,0.9092037861915369,0.648578811369509,0.8366666666666667,0.10468629
7,7.0,0.8080553634443784,0.9217650334075724,0.7383177570093458,0.79,0.16404101
8,8.0,0.767703204462714,0.8981978470675576,0.670487106017192,0.78,0.14501834
